,คำนำหน้าชื่อ,ชื่อ,สกุล,พรรค,"เริ่มทำงานสภาสมัยนี้ในฐานะสมาชิกพรรค
 (YYYY-MM-DD)"
id,title,name,lastname,party,established_date
416,นาย,สรวุฒิ,เนื่องจำนงค์,พลังประชารัฐ,2562-03-24
417,นาย,สรอรรถ,กลิ่นประทุม,ภูมิใจไทย,2562-03-24
418,นางสาว,สรัสนันท์,อรรณนพพร,เพื่อไทย,2562-03-24
419,นาย,สราวุธ,อ่อนละมัย,ประชาธิปัตย์,2562-03-24
420,ดร.,สฤษฏ์พงษ์,เกี่ยวข้อง,ภูมิใจไทย,2562-03-24
421,ดร.,สฤษดิ์,บุตรเนียร,ภูมิใจไทย,2562-03-24
422,ดร.,สะถิระ,เผือกประพันธุ์,เศรษฐกิจไทย,2562-03-24
423,นาย,สัญญา,นิลสุพรรณ,พลังประชารัฐ,2562-03-24
424,นาย,สัณหพจน์,สุขศรีเมือง,พลังประชารัฐ,2562-03-24
425,ดร.,สันติ,กีระนันทน์,พลังประชารัฐ,2562-03-24
426,นาย,สันติ,พร้อมพัฒน์,พลังประชารัฐ,2562-03-24
427,นาย,สัมพันธ์,มะยูโซ๊ะ,พลังประชารัฐ,2562-03-24
428,นาย,สัมฤทธิ์,แทนทรัพย์,พลังประชารัฐ,2562-03-24
429,นาย,สาคร,เกี่ยวข้อง,ประชาธิปัตย์,2562-03-24
430,นาย,สาทิตย์,วงศ์หนองเตย,ประชาธิปัตย์,2562-03-24
431,นาย,สุริยะ,จึงรุ่งเรืองกิจ,พลังประชารัฐ,2562-03-24
432,นาย,สาธิต,อุ๋ยตระกูล,พลังประชารัฐ,2562-03-24
433,นาย,สายัณห์,ยุติธรรม,พลังประชารัฐ,2562-03-24
434,นาย,สำลี,รักสุทธี,ภูมิใจไทย,2562-03-24
435,นาย,สิงหภณ,ดีนาง,เพื่อไทย,2562-03-24
436,พันโท ดร.,สินธพ,แก้วพิจิตร,ประชาธิปัตย์,2562-03-24
437,นาย,สินิตย์,เลิศไกร,ประชาธิปัตย์,2562-03-24
438,นาย,สิระ,เจนจาคะ,พลังประชารัฐ,2562-03-24
439,นาง,สิรินทร,รามสูต,เพื่อไทย,2562-03-24
440,ดร.,สิริพงศ์,อังคสกุลเกียรติ,ภูมิใจไทย,2562-03-24
441,นาย,สุชาติ,ชมกลิ่น,พลังประชารัฐ,2562-03-24
442,นาย,สุชาติ,ตันเจริญ,พลังประชารัฐ,2562-03-24
443,นาย,สุชาติ,ภิญโญ,เพื่อไทย,2562-03-24
444,นาย,สุชาติ,อุสาหะ,พลังประชารัฐ,2562-03-24
445,นางสาว,สุณัฐชา,โล่สถาพรพิพิธ,ประชาธิปัตย์,2562-03-24
446,นางสาว,สุทธวรรณ,สุบรรณ ณ อยุธยา,ก้าวไกล,2562-03-24
447,นาย,สุทา,ประทีป ณ ถลาง,พลังประชารัฐ,2562-03-24
448,ดร.,สุทิน,คลังแสง,เพื่อไทย,2562-03-24
449,นาย,สุเทพ,อู่อ้น,ก้าวไกล,2562-03-24
450,นาย,สุพล,จุลใส,รวมพลังประชาชาติไทย,2562-03-24
451,นาย,สุพล,ฟองงาม,พลังประชารัฐ,2562-03-24
452,พลตำรวจตรี ดร.,สุพิศาล,ภักดีนฤนาถ,ก้าวไกล,2562-03-24
453,นาย,สุภดิช,อากาศฤกษ์,เศรษฐกิจใหม่,2562-03-24
454,นาง,สุภาภรณ์,คงวุฒิปัญญา,เพื่อไทย,2562-03-24
455,ดร.,สุรชัย,ศรีสารคาม,อนาคตใหม่,2562-03-24
456,นาย,สุรชาติ,ชาญประดิษฐ์,เพื่อไทย,2562-03-24
457,นาย,สุรชาติ,ศรีบุศกร,พลังประชารัฐ,2562-03-24
458,ดร.,สุรเชษฐ์,ประวีณวงศ์วุฒิ,ก้าวไกล,2562-03-24
459,นาย,สุรทิน,พิจารณ์,ประชาธิปไตยใหม่,2562-03-24
460,นาย,สุรพงษ์,อึ้งอัมพรวิไล,เพื่อไทย,2562-03-24
461,รองศาสตราจารย์ ดร.,สุรวาท,ทองบุ,ก้าวไกล,2562-03-24
462,ดร.,สุรวิทย์,คนสมบูรณ์,เพื่อไทย,2562-03-24
463,นาย,สุรศักดิ์,ชิงนวรรณ์,พลังประชารัฐ,2562-03-24
464,นาย,สุรศักดิ์,พันธ์เจริญวรกุล,ภูมิใจไทย,2562-03-24
