,คำนำหน้าชื่อ,ชื่อ,สกุล,พรรค,"เริ่มทำงานสภาสมัยนี้ในฐานะสมาชิกพรรค
 (YYYY-MM-DD)"
id,title,name,lastname,party,established_date
1,พลเอก,ประยุทธ์,จันทร์โอชา,,2562-07-10
2,พลเอก,ประวิตร,วงษ์สุวรรณ,พลังประชารัฐ,2562-07-10
3,ดร.,สมคิด,จาตุศรีพิทักษ์,พลังประชารัฐ,2562-07-10
4,ดร.,วิษณุ,เครืองาม,,2562-07-10
5,พลเอก,ชัยชาญ,ช้างมงคล,,2562-07-10
6,ดร.,อุตตม,สาวนายน,พลังประชารัฐ,2562-07-10
7,นาย,ดอน,ปรมัตถ์วินัย,,2562-07-10
8,นาย,พิพัฒน์,รัชกิจประการ,ภูมิใจไทย,2562-07-10
9,นาย,จุติ,ไกรฤกษ์,ประชาธิปัตย์,2562-03-24
10,ดร.,สุวิทย์,เมษินทรีย์,พลังประชารัฐ,2562-07-10
11,นาย,เฉลิมชัย,ศรีอ่อน,ประชาธิปัตย์,2562-07-10
12,นางสาว,มนัญญา,ไทยเศรษฐ์,ภูมิใจไทย,2562-07-10
13,นาย,สนธิรัตน์,สนธิจิรวงศ์,พลังประชารัฐ,2562-07-10
14,นาย,วีรศักดิ์,หวังศุภกิจโกศล,ภูมิใจไทย,2562-07-10
15,พลเอก,อนุพงษ์,เผ่าจินดา,,2562-07-10
16,นาย,นิพนธ์,บุญญามณี,ประชาธิปัตย์,2562-07-10
17,ดร.,ทรงศักดิ์,ทองศรี,ภูมิใจไทย,2562-07-10
18,หม่อมราชวงศ์,จัตุมงคล,โสณกุล,รวมพลังประชาชาติไทย,2562-07-10
19,นาย,อิทธิพล,คุณปลื้ม,พลังประชารัฐ,2562-07-10
20,ดร. คุณหญิง,กัลยา,โสภณพนิช,ประชาธิปัตย์,2562-07-10
21,ดร.,กนกวรรณ,วิลาวัลย์,ภูมิใจไทย,2562-03-24
22,นาย,กนก,ลิ้มตระกูล,เพื่อไทย,2562-03-24
23,ศาสตราจารย์ ดร.,กนก,วงษ์ตระหง่าน,ประชาธิปัตย์,2562-03-24
24,นาย,กมลศักดิ์,ลีวาเมาะ,ประชาชาติ,2562-03-24
25,นาย,กรณ์,จาติกวณิช,ประชาธิปัตย์,2562-03-24
26,นาง,กรณิศ,งามสุคนธ์รัตนา,พลังประชารัฐ,2562-03-24
27,นาย,กรวีร์,ปริศนานันทกุล,ภูมิใจไทย,2562-03-24
28,นาย,กรุงศรีวิไล,สุทินเผือก,พลังประชารัฐ,2562-03-24
29,นาย,กฤติเดช,สันติวชิระกุล,ภูมิใจไทย,2562-03-24
30,นาย,กฤษฎา,ตันเทอดทิตย์,เพื่อไทย,2562-03-24
31,นาย,กฤษณ์,แก้วอยู่,พลังประชารัฐ,2562-03-24
32,นางสาว,กวินนาถ,ตาคีย์,พลังท้องถิ่นไท,2562-03-24
33,นาย,กษิดิ์เดช,ชุติมันต์,พลังประชารัฐ,2562-03-24
34,นาย,กัญจน์พงศ์,จงสุทธนามณี,ก้าวไกล,2562-03-24
35,นาง,กันตวรรณ,ตันเถียร,ประชาธิปัตย์,2562-03-24
36,นางสาว,กัลยา,รุ่งวิจิตรชัย,พลังประชารัฐ,2562-03-24
37,ดร.,พิสิฐ,ลี้อาธรรม,ประชาธิปัตย์,2562-03-24
38,นางสาว,กานต์กนิษฐ์,แห้วสันตติ,พลังประชารัฐ,2562-03-24
39,นาย,การุณ,โหสกุล,เพื่อไทย,2562-03-24
40,นาย,กิตติ,สมทรัพย์,เพื่อไทย,2562-03-24
41,นาย,กิตติกร,โล่ห์สุนทร,เพื่อไทย,2562-03-24
42,นาย,กิตติชัย,เรืองสวัสดิ์,ภูมิใจไทย,2562-03-24
43,นางสาว,กิตติ์ธัญญา,วาจาดี,เพื่อไทย,2562-03-24
44,นายแพทย์,กิตติศักดิ์,คณาสวัสดิ์,เพื่อไทย,2562-03-24
45,นางสาว,กุลธิดา,รุ่งเรืองเกียรติ,อนาคตใหม่,2562-03-24
46,นางสาว,กุลวลี,นพอมรบดี,พลังประชารัฐ,2562-03-24
47,นาย,กูเฮง,ยาวอหะซัน,ประชาชาติ,2562-03-24
48,นาย,เกรียงศักดิ์,ฝ้ายสีงาม,เพื่อไทย,2562-03-24
49,นาย,เกษม,ศุภรานนท์,เศรษฐกิจไทย,2562-03-24
50,นาย,เกษม,อุประ,เพื่อไทย,2562-03-24
51,นาย,เกษมสันต์,มีทิพย์,ก้าวไกล,2562-03-24
52,นาย,เกียรติ,สิทธีอมร,ประชาธิปัตย์,2562-03-24
53,นาย,เกียรติ,เหลืองขจรวิทย์,ภูมิใจไทย,2562-03-24
54,นาย,เกื้อกูล,ด่านชัยวิจิตร,ภูมิใจไทย,2562-03-24
55,ศาสตราจารย์ ดร.,โกวิทย์,พวงงาม,พลังท้องถิ่นไท,2562-03-24
56,นาย,โกศล,ปัทมะ,เพื่อไทย,2562-03-24
57,นาย,ไกลก้อง,ไวทยการ,อนาคตใหม่,2562-03-24
58,นาย,ขจิตร,ชัยนิคม,เพื่อไทย,2562-03-24
59,นาย,ขวัญเลิศ,พานิชมาท,ก้าวไกล,2562-03-24
60,นาย,เขตรัฐ,เหล่าธรรมทัศน์,รวมพลังประชาชาติไทย,2562-03-24
61,นาย,คงกฤษ,ฉัตรมาลีรัตน์,ภูมิใจไทย,2562-03-24
62,นาย,คฑาเทพ,เตชะเดชเรืองกุล,เพื่อชาติไทย,2562-03-24
63,นาย,คมเดช,ไชยศิวามงคล,เพื่อไทย,2562-03-24
64,นาย,ครูมานิตย์,สังข์พุ่ม,เพื่อไทย,2562-03-24
65,นาย,คารม,พลพรกลาง,ก้าวไกล,2562-03-24
66,นาย,คำพอง,เทพาคำ,ก้าวไกล,2562-03-24
67,นาย,คุณากร,ปรีชาชนะชัย,เพื่อไทย,2562-03-24
68,นาย,จตุพร,เจริญเชื้อ,เพื่อไทย,2562-03-24
69,นาย,จรัส,คุ้มไข่น้ำ,ก้าวไกล,2562-03-24
70,นาย,จรัสฤทธิ์,จันทรสุรินทร์,เพื่อไทย,2562-03-24
71,ร้อยเอก ดร.,จองชัย,วงศ์ทรายทอง,พลังประชารัฐ,2562-03-24
72,นางสาว,จอมขวัญ,กลับบ้านเกาะ,เศรษฐกิจไทย,2562-03-24
73,นาย,จักรกฤษณ์,ทองศรี,ภูมิใจไทย,2562-03-24
74,นาย,จักรพรรดิ,ไชยสาส์น,เพื่อไทย,2562-03-24
75,นาย,จักรพล,ตั้งสุทธิธรรม,เพื่อไทย,2562-03-24
76,ผู้ช่วยศาสตราจารย์ ดร.,จักรพันธ์,พรนิมิตร,พลังประชารัฐ,2562-03-24
77,นาย,จักรัตน์,พั้วช่วย,พลังประชารัฐ,2562-03-24
78,นางสาว,จุฑาฑัตต,เหล่าธรรมทัศน์,รวมพลังประชาชาติไทย,2562-03-24
79,ดร.,จาตุรงค์,เพ็งนรพัฒน์,เพื่อไทย,2562-03-24
80,นาย,จารึก,ศรีอ่อน,พลังท้องถิ่นไท,2562-03-24
81,นางสาว,จารุวรรณ,ศรัณย์เกตุ,อนาคตใหม่,2562-03-24
82,นางสาว,จิตภัสร์,กฤดากร,ประชาธิปัตย์,2562-03-24
83,นาย,จิรทัศ,ไกรเดชา,เพื่อไทย,2562-03-24
84,นาย,จิรพงษ์,ทรงวัชราภรณ์,เพื่อไทย,2562-03-24
85,นาย,จิรวัฒน์,ศิริพานิชย์,เพื่อไทย,2562-03-24
86,นาย,จิรวัฒน์,อรัณยกานนท์,ก้าวไกล,2562-03-24
87,นาย,จิรัฏฐ์,ทองสุวรรณ์,ก้าวไกล,2562-03-24
88,นางสาว,จิราพร,สินธุไพร,เพื่อไทย,2562-03-24
89,นาย,จิรายุ,ห่วงทรัพย์,เพื่อไทย,2562-03-24
90,นาย,จีรเดช,ศรีวิราช,เศรษฐกิจไทย,2562-03-24
91,นาง,จุฑาพัตธน์,เมนะสวัสดิ์,เพื่อไทย,2562-03-24
92,ผู้ช่วยศาสตราจารย์ ดร.,อิสระ,เสรีวัฒนวุฒิ,ประชาธิปัตย์,2562-03-24
93,นาง,จุมพิตา,จันทรขจร,อนาคตใหม่,2562-03-24
94,นาย,ประภัตร,โพธสุธน,ชาติไทยพัฒนา,2562-03-24
95,นาย,จุลพันธ์,โนนศรีชัย,ชาติไทยพัฒนา,2562-03-24
96,นาย,จุลพันธ์,อมรวิวัฒน์,เพื่อไทย,2562-03-24
97,นาย,เจนวิทย์,ไกรสินธุ์,อนาคตใหม่,2562-03-24
98,นาง,เจริญ,เรี่ยวแรง,พลังประชารัฐ,2562-03-24
99,นาย,เจเศรษฐ์,ไทยเศรษฐ์,ภูมิใจไทย,2562-03-24
100,นาย,ฉลอง,เทอดวีระพงศ์,ภูมิใจไทย,2562-03-24
101,นาย,ฉลาด,ขามช่วง,เพื่อไทย,2562-03-24
102,นางสาว,ชนก,จันทาทอง,เพื่อไทย,2562-03-24
103,นาย,ชยุต,ภุมมะกาญจนะ,ภูมิใจไทย,2562-03-24
104,นาย,ชลน่าน,ศรีแก้ว,เพื่อไทย,2562-03-24
105,นาย,ชวน,หลีกภัย,ประชาธิปัตย์,2562-03-24
106,พันตำรวจตรี,ชวลิต,เลาหอุดมพันธ์,ก้าวไกล,2562-03-24
107,นาย,ชวลิต,วิชยสุทธิ์,เพื่อไทย,2562-03-24
108,นาย,ชัชวาลล์,คงอุดม,พลังท้องถิ่นไท,2562-03-24
109,นาย,ชัย,ชิดชอบ,ภูมิใจไทย,2562-03-24
110,นาย,ชัยชนะ,เดชเดโช,ประชาธิปัตย์,2562-03-24
111,นาย,ชัยยันต์,ผลสุวรรณ์,เพื่อไทย,2562-03-24
112,นาย,ชัยวัฒน์,เป้าเปี่ยมทรัพย์,พลังประชารัฐ,2562-03-24
113,นาย,ชัยวุฒิ,ธนาคมานุสรณ์,พลังประชารัฐ,2562-03-24
114,นาย,ชัยวุฒิ,บรรณวัฒน์,ประชาธิปัตย์,2562-03-24
115,นาย,ชาญวิทย์,วิภูศิริ,พลังประชารัฐ,2562-03-24
116,นาย,ชาดา,ไทยเศรษฐ์,ภูมิใจไทย,2562-03-24
117,นาย,ชำนาญ,จันทร์เรือง,อนาคตใหม่,2562-03-24
118,นาย,ชินวรณ์,บุณยเกียรติ,ประชาธิปัตย์,2562-03-24
119,นาย,ชุมพล,จุลใส,ประชาธิปัตย์,2562-03-24
120,นาย,ชูวิทย์,พิทักษ์พรพัลลภ,เพื่อไทย,2562-03-24
121,นาย,ชูศักดิ์,คีรีมาศทอง,พลังประชารัฐ,2562-03-24
122,นาย,ชูศักดิ์,แอกทอง,เพื่อไทย,2562-03-24
123,นาย,เชิงชาย,ชาลีรินทร์,พลังประชารัฐ,2562-03-24
124,นาย,เชิดพงศ์,ราชป้องขันธ์,เพื่อไทย,2562-03-24
125,นาย,โชติพิพัฒน์,เตชะโสภณมณี,ภูมิใจไทย,2562-03-24
126,นาย,โชติวุฒิ,ธนาคมานุสรณ์,พลังประชารัฐ,2562-03-24
127,นาย,ไชยวัฒนา,ติณรัตน์,เพื่อไทย,2562-03-24
128,นาย,ไชยา,พรหมา,เพื่อไทย,2562-03-24
129,นาย,ซูการ์โน,มะทา,ประชาชาติ,2562-03-24
130,นางสาว,ญาณธิชา,บัวเผื่อน,ก้าวไกล,2562-03-24
131,พันตำรวจโท ดร.,ฐนภัทร,กิตติวงศา,พลังประชารัฐ,2562-03-24
132,นาย,ฐานิสร์,เทียนทอง,พลังประชารัฐ,2562-03-24
133,นาย,ฐาปกรณ์,กุลเจริญ,พลังประชารัฐ,2562-03-24
134,นาย,ฐิตินันท์,แสงนาค,ภูมิใจไทย,2562-03-24
135,นางสาว,ฐิติภัสร์,โชติเดชาชัยนันต์,พลังประชารัฐ,2562-03-24
136,นางสาว,ณธีภัสร์,กุลเศรษฐสิทธิ์,ก้าวไกล,2562-03-24
137,นาย,ณัฏฐ์ชนน,ศรีก่อเกื้อ,ภูมิใจไทย,2562-03-24
138,นาย,ณัฏฐพล,จรัสรพีพงษ์,เศรษฐกิจไทย,2562-03-24
139,นาย,วราวุธ,ศิลปอาชา,ชาติไทยพัฒนา,2562-03-24
140,นาย,ณัฐชา,บุญไชยอินสวัสดิ์,ก้าวไกล,2562-03-24
141,นาย,ณัฐพงษ์,เรืองปัญญาวุฒิ,ก้าวไกล,2562-03-24
142,นาย,ณัฐพงษ์,สุปริยศิลป์,เพื่อไทย,2562-03-24
143,นาย,ณัฐพล,สืบศักดิ์วงศ์,ก้าวไกล,2562-03-24
144,นาย,ณัฐวุฒิ,กองจันทร์ดี,เพื่อไทย,2562-03-24
145,นาย,ณัฐวุฒิ,บัวประทุม,ก้าวไกล,2562-03-24
146,นาย,ณัฐวุฒิ,ประเสริฐสุวรรณ,ชาติไทยพัฒนา,2562-03-24
147,นาย,ดล,เหตระกูล,ชาติพัฒนา,2562-03-24
148,นาย,ดะนัย,มะหิพันธ์,เพื่อไทย,2562-03-24
149,นาย,ดำรงค์,พิเดช,รักษ์ผืนป่าประเทศไทย,2562-03-24
150,นาย,เดชอิศม์,ขาวทอง,ประชาธิปัตย์,2562-03-24
151,นางสาว,ตรีนุช,เทียนทอง,พลังประชารัฐ,2562-03-24
152,นาย,ตี๋ใหญ่,พูนศรีธนากูล,เพื่อไทย,2562-03-24
153,นาย,ไตรเทพ,งามกมล,ภูมิใจไทย,2562-03-24
154,นาย,ไตรรงค์,ติธรรม,เพื่อไทย,2562-03-24
155,นาย,เทวัญ,ลิปตพัลลภ,ชาติพัฒนา,2562-03-24
156,พลตรี,ทรงกลด,ทิพย์รัตน์,พลังชาติไทย,2562-03-24
157,พันเอก ดร.,เศรษฐพงค์,มะลิสุวรรณ,ภูมิใจไทย,2562-03-24
158,นาย,ทวิรัฐ,รัตนเศรษฐ,พลังประชารัฐ,2562-03-24
159,นาย,ทวีศักดิ์,ทักษิณ,ก้าวไกล,2562-03-24
160,นาย,ทศพร,ทองศิริ,ก้าวไกล,2562-03-24
161,นาย,ทองแดง,เบ็ญจะปัก,ก้าวไกล,2562-03-24
162,นาง,ทัศนาพร,เกษเมธีการุณ,พลังประชารัฐ,2562-03-24
163,นางสาว,ทัศนีย์,บูรณุปกรณ์,เพื่อไทย,2562-03-24
164,นาง,ทัศนียา,รัตนเศรษฐ,พลังประชารัฐ,2562-03-24
165,นาย,ทายาท,เกียรติชูศักดิ์,เพื่อไทย,2562-03-24
166,นาย,เทพไท,เสนพงศ์,ประชาธิปัตย์,2562-03-24
167,นาย,จุรินทร์,ลักษณวิศิษฏ์,ประชาธิปัตย์,2562-03-24
168,นาย,เทอดพงษ์,ไชยนันทน์,ประชาธิปัตย์,2562-03-24
169,นาย,เท่าพิภพ,ลิ้มจิตรกร,ก้าวไกล,2562-03-24
170,นาง,เทียบจุฑา,ขาวขำ,เพื่อไทย,2562-03-24
171,นางสาว,ธณิกานต์,พรพงษาโรจน์,พลังประชารัฐ,2562-03-24
172,ดร.,ธนกร,ไชยกุล,เพื่อไทย,2562-03-24
173,นางสาว,ธนภร,โสมทองแดง,เสรีรวมไทย,2562-03-24
174,นาย,ธนยศ,ทิมสุวรรณ,ภูมิใจไทย,2562-03-24
175,นาย,ธนะสิทธิ์,โควสุรัตน์,เศรษฐกิจไทย,2562-03-24
176,นาย,ธนัสถ์,ทวีเกื้อกูลกิจ,เศรษฐกิจไทย,2562-03-24
177,นาย,ธนาธร,จึงรุ่งเรืองกิจ,อนาคตใหม่,2562-03-24
178,นาย,ถาวร,เสนเนียม,ประชาธิปัตย์,2562-03-24
179,นาย,ธรรมวิชญ์,โพธิพิพิธ,พลังประชารัฐ,2562-03-24
180,นาย,ธัญญ์วาริน,สุขะพิสิษฐ์,ก้าวไกล,2562-03-24
181,นาย,ธัญวัจน์,กมลวงศ์วัฒน์,ก้าวไกล,2562-03-24
182,นาย,ธารา,ปิตุเตชะ,ประชาธิปัตย์,2562-03-24
183,นาย,ธีรภัทร,พริ้งศุลกะ,ประชาธิปัตย์,2562-03-24
184,ดร.,ธีรรัตน์,สำเร็จวาณิชย์,เพื่อไทย,2562-03-24
185,นาย,ธีระ,ไตรสรณกุล,เพื่อไทย,2562-03-24
186,นาย,ธีระ,วงศ์สมุทร,ชาติไทยพัฒนา,2562-03-24
187,นาย,ธีรัจชัย,พันธุมาศ,ก้าวไกล,2562-03-24
188,นาย,นพ,ชีวานันท์,เพื่อไทย,2562-03-24
189,นาย,นพคุณ,รัฐผไท,เพื่อไทย,2562-03-24
190,ดร.,นพดล,แก้วสุพัฒน์,พลังท้องถิ่นไท,2562-03-24
191,นาย,นพดล,มาตรศรี,ชาติไทยพัฒนา,2562-03-24
192,นาย,นพพล,เหลืองทองนารา,เพื่อไทย,2562-03-24
193,ดร.,นภาพร,เพ็ชร์จินดา,เสรีรวมไทย,2562-03-24
194,นาย,นริศ,ขำนุรักษ์,ประชาธิปัตย์,2562-03-24
195,นาย,พรชัย,ตระกูลวรานนท์,พลังประชารัฐ,2562-03-24
196,นาย,นวัธ,เตาะเจริญสุข,เพื่อไทย,2562-03-24
197,นาย,นัทธี,ถิ่นสาคู,พลังประชารัฐ,2562-03-24
198,ดร.,นาที,รัชกิจประการ,ภูมิใจไทย,2562-03-24
199,นาย,นิกร,จำนง,ชาติไทยพัฒนา,2562-03-24
200,นาย,นิคม,บุญวิเศษ,พลังปวงชนไทย,2562-03-24
201,นาย,นิติพล,ผิวเหมาะ,ก้าวไกล,2562-03-24
202,นาย,นิพันธ์,ศิริธร,พลังประชารัฐ,2562-03-24
203,นาย,นิยม,ช่างพินิจ,เพื่อไทย,2562-03-24
204,นาย,นิยม,วิวรรธนดิฐกุล,เศรษฐกิจใหม่,2562-03-24
205,ดร.,นิยม,เวชกามา,เพื่อไทย,2562-03-24
206,นาย,นิรมิต,สุจารี,เพื่อไทย,2562-03-24
207,นาย,นิรันดร์,นาเมืองรักษ์,เพื่อไทย,2562-03-24
208,นาย,นิรามาน,สุไลมาน,อนาคตใหม่,2562-03-24
209,นาย,นิโรธ,สุนทรเลขา,พลังประชารัฐ,2562-03-24
210,นางสาว,แนน บุณย์ธิดา,สมชัย,ประชาธิปัตย์,2562-03-24
211,นายแพทย์,บัญญัติ,เจตนจันทร์,ประชาธิปัตย์,2562-03-24
212,นาย,บัญญัติ,บรรทัดฐาน,ประชาธิปัตย์,2562-03-24
213,นาย,บัลลังก์,อรรณนพพร,เพื่อไทย,2562-03-24
214,นาย,บุญแก้ว,สมวงศ์,เพื่อไทย,2562-03-24
215,นาย,บุญฐิณ,ประทุมลี,เพื่อไทย,2562-03-24
216,นาง,บุญยิ่ง,นิติกาญจนา,พลังประชารัฐ,2562-03-24
217,นาง,บุญรื่น,ศรีธเรศ,เพื่อไทย,2562-03-24
218,ดร.,บุญลือ,ประเสริฐโสภา,ภูมิใจไทย,2562-03-24
219,นาย,บุญสิงห์,วรินทร์รักษ์,เศรษฐกิจไทย,2562-03-24
220,นางสาว,เบญจา,แสงจันทร์,ก้าวไกล,2562-03-24
221,นาย,ปกรณ์,มุ่งเจริญพร,ภูมิใจไทย,2562-03-24
222,นาย,ปกรณ์วุฒิ,อุดมพิพัฒน์สกุล,ก้าวไกล,2562-03-24
223,นาย,ปฐมพงศ์,สูญจันทร์,พลังประชารัฐ,2562-03-24
224,นาย,ปดิพัทธ์,สันติภาดา,ก้าวไกล,2562-03-24
225,นาย,ประกอบ,รัตนพันธ์,ประชาธิปัตย์,2562-03-24
226,นาย,ประเดิมชัย,บุญช่วยเหลือ,เพื่อไทย,2562-03-24
227,นาย,ประทวน,สุทธิอำนวยเดช,พลังประชารัฐ,2562-03-24
228,ดร.,สาธิต,ปิตุเตชะ,ประชาธิปัตย์,2562-03-24
229,นาย,ประภูศักดิ์,จินตะเวช,เพื่อไทย,2562-03-24
230,นาย,ประมวล,พงศ์ถาวราเดช,ประชาธิปัตย์,2562-03-24
231,นายแพทย์,ประสงค์,บูรณ์พงศ์,เสรีรวมไทย,2562-03-24
232,นาย,ประสิทธิ์,มะหะหมัด,พลังประชารัฐ,2562-03-24
233,นาย,ประสิทธิ์,วุฒินันชัย,เพื่อไทย,2562-03-24
234,นาย,ประเสริฐ,จันทรรวงทอง,เพื่อไทย,2562-03-24
235,นาย,ประเสริฐ,บุญเรือง,เพื่อไทย,2562-03-24
236,นาย,ประเสริฐพงษ์,ศรนุวัตร์,ก้าวไกล,2562-03-24
237,นาย,ปริญญา,ช่วยเกตุ คีรีรัตน์,ก้าวไกล,2562-03-24
238,นาย,ปริญญา,ฤกษ์หร่าย,พลังประชารัฐ,2562-03-24
239,นาย,ปรีดา,บุญเพลิง,ครูไทยเพื่อประชาชน,2562-03-24
240,นาย,ปัญญา,จีนาคำ,เศรษฐกิจไทย,2562-03-24
241,นางสาว,ปารีณา,ไกรคุปต์,พลังประชารัฐ,2562-03-24
242,ดร.,ปิยบุตร,แสงกนกกุล,อนาคตใหม่,2562-03-24
243,นาย,ปิยวัฒน,พันธ์สายเชื้อ,เพื่อไทย,2562-03-24
244,นางสาว,ปิยะรัฐชย์,ติยะไพรัช,เพื่อชาติ,2562-03-24
245,นาง,ผ่องศรี,แซ่จึง,เพื่อไทย,2562-03-24
246,นาย,ไผ่,ลิกค์,เศรษฐกิจไทย,2562-03-24
247,พลโท ดร.,พงศกร,รอดชมภู,อนาคตใหม่,2562-03-24
248,นาย,พงศ์กวิน,จึงรุ่งเรืองกิจ,พลังประชารัฐ,2562-03-24
249,นาย,พนิต,วิกิตเศรษฐ์,ประชาธิปัตย์,2562-03-24
250,นาย,พยม,พรหมเพชร,พลังประชารัฐ,2562-03-24
251,นาย,พรชัย,อำนวยทรัพย์,ภูมิใจไทย,2562-03-24
252,นาย,พรชัย,อินทร์สุข,เศรษฐกิจไทย,2562-03-24
253,นาย,พรเทพ,วิสุทธิ์วัฒนศักดิ์,เพื่อไทย,2562-03-24
254,นางสาว,พรพิมล,ธรรมสาร,ภูมิใจไทย,2562-03-24
255,นาง,พรเพ็ญ,บุญศิริวัฒนกุล,เพื่อไทย,2562-03-24
256,ดร.,พรรณสิริ,กุลนาถศิริ,พลังประชารัฐ,2562-03-24
257,นางสาว,พรรณิการ์,วานิช,อนาคตใหม่,2562-03-24
258,นาย,พลภูมิ,วิภัติภูมิประเทศ,เพื่อไทย,2562-03-24
259,ดร.,พัชรินทร์,ซำศิริพงษ์,พลังประชารัฐ,2562-03-24
260,นาย,พัฒนา,สัพโส,เพื่อไทย,2562-03-24
261,ดร.,พาณุวัฒณ์,สะสมทรัพย์,ชาติไทยพัฒนา,2562-03-24
262,นาย,พิจารณ์,เชาวพัฒนวงศ์,ก้าวไกล,2562-03-24
263,นาง,พิชชารัตน์,เลาหพงศ์ชนะ,พลังประชารัฐ,2562-03-24
264,นาย,พิเชษฐ,สถิรชวาล,พลังประชารัฐ,2562-03-24
265,ดร.,พิเชษฐ์,เชื้อเมืองพาน,เพื่อไทย,2562-03-24
266,นาย,พิธา,ลิ้มเจริญรัตน์,ก้าวไกล,2562-03-24
267,นาย,พิบูลย์,รัชกิจประการ,ภูมิใจไทย,2562-03-24
268,นางสาว,พิมพ์พร,พรพฤฒิพันธุ์,พลังประชารัฐ,2562-03-24
269,นางสาว,พิมพ์ภัทรา,วิชัยกุล,ประชาธิปัตย์,2562-03-24
270,นาย,พิษณุ,พลธี,ภูมิใจไทย,2562-03-24
271,นาย,พีรเดช,คำสมุทร,ก้าวไกล,2562-03-24
272,นาย,พีระพันธุ์,สาลีรัฐวิภาค,ประชาธิปัตย์,2562-03-24
273,ดร.,พีระเพชร,ศิริกุล,เพื่อไทย,2562-03-24
274,นาย,ณัฏฐพล,ทีปสุวรรณ,พลังประชารัฐ,2562-03-24
275,นาย,เพชร,เอกกำลังกุล,เสรีรวมไทย,2562-03-24
276,นางสาว,เพชรชมพู,กิจบูรณะ,รวมพลังประชาชาติไทย,2562-03-24
277,นางสาว,เพชรดาว,โต๊ะมีนา,ภูมิใจไทย,2562-03-24
278,ดร.,เพชรวรรต,วัฒนพงศศิริกุล,เพื่อชาติ,2562-03-24
279,นาย,ไพจิต,ศรีวรขาน,เพื่อไทย,2562-03-24
280,นาย,ไพบูลย์,นิติตะวัน,พลังประชารัฐ,2562-03-24
281,ดร.,ไพโรจน์,โล่ห์สุนทร,เพื่อไทย,2562-03-24
282,นางสาว,ไพลิน,เทียนสุวรรณ,พลังประชารัฐ,2562-03-24
283,ดร.,ภณณัฏฐ์,ศรีอินทร์สุทธิ์,เพื่อไทย,2562-03-24
284,นาย,ภราดร,ปริศนานันทกุล,ภูมิใจไทย,2562-03-24
285,นางสาว,ภริม,พูลเจริญ,พลังประชารัฐ,2562-03-24
286,นาย,ภาคภูมิ,บูลย์ประมุข,เศรษฐกิจไทย,2562-03-24
287,นาย,ภาควัต,ศรีสุรพล,เพื่อไทย,2562-03-24
288,นางสาว,ภาดาท์,วรกานนท์,พลังประชารัฐ,2562-03-24
289,นาย,ภานุ,ศรีบุศยกาญจน์,ประชาธิปัตย์,2562-03-24
290,นาย,ภาสกร,เงินเจริญกุล,เศรษฐกิจใหม่,2562-03-24
291,ดร.,ภิญโญ,นิโรจน์,พลังประชารัฐ,2562-03-24
292,นาย,ภูดิท,อินสุวรรณ์,พลังประชารัฐ,2562-03-24
293,นาย,ภูมิศิษฏ์,คงมี,ภูมิใจไทย,2562-03-24
294,ดร.,มงคลกิตติ์,สุขสินธารานนท์,ไทยศรีวิไลย์,2562-03-24
295,ร้อยตำรวจตรี,มณฑล,โพธิ์คาย,ภูมิใจไทย,2562-03-24
296,นาย,มณเฑียร,สงฆ์ประชา,พลังประชารัฐ,2562-03-24
297,นาย,มนตรี,ตั้งเจริญถาวร,เพื่อไทย,2562-03-24
298,นาย,มนตรี,ปาน้อยนนท์,ประชาธิปัตย์,2562-03-24
299,นาง,มนพร,เจริญศรี,เพื่อไทย,2562-03-24
300,ดร.,มนูญ,สิวาภิรมย์รัตน์,เศรษฐกิจใหม่,2562-03-24
301,นางสาว,มัลลิกา,จิระพันธุ์วาณิช,ภูมิใจไทย,2562-03-24
302,นาย,มานพ,ศรีผึ้ง,ภูมิใจไทย,2562-03-24
303,นาย,มานะ,โลหะวณิชย์,เพื่อไทย,2562-03-24
304,นาย,มานะศักดิ์,จันทร์ประสงค์,เพื่อไทย,2562-03-24
305,นาย,มานัส,อ่อนอ้าย,พลังประชารัฐ,2562-03-24
306,นาง,มารศรี,ขจรเรืองโรจน์,เศรษฐกิจใหม่,2562-03-24
307,นาย,มิ่งขวัญ,แสงสุวรรณ์,เศรษฐกิจใหม่,2562-03-24
308,นาง,มุกดา,พงษ์สมบัติ,เพื่อไทย,2562-03-24
309,พลตำรวจเอก,ยงยุทธ,เทพจำนงค์,เศรษฐกิจไทย,2562-03-24
310,ดร.,ยงยุทธ,สุวรรณบุตร,พลังประชารัฐ,2562-03-24
311,นาย,ยรรยงก์,ถนอมพิชัยธำรง,รักษ์ผืนป่าประเทศไทย,2562-03-24
312,นาย,ยศวัฒน์,มาไพศาลสิน,ภูมิใจไทย,2562-03-24
313,นาย,ยุทธพงศ์,จรัสเสถียร,เพื่อไทย,2562-03-24
314,นางสาว,เยาวลักษณ์,วงษ์ประภารัตน์,อนาคตใหม่,2562-03-24
315,รองศาสตราจารย์ ดร.,รงค์,บุญสวยขวัญ,พลังประชารัฐ,2562-03-24
316,นาย,รณเทพ,อนุวัฒน์,พลังประชารัฐ,2562-03-24
